epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8360368013381958,0.5246990919113159,NA,0.8110650777816772,0.7577542662620544
1,0.8830257654190063,0.35265517234802246,NA,0.8561862111091614,0.4786149263381958
2,0.9042286276817322,0.28758174180984497,NA,0.8820152878761292,0.3582410216331482
3,0.9161850810050964,0.24633772671222687,NA,0.9035395383834839,0.2906307876110077
4,0.9226017594337463,0.22448886930942535,NA,0.910554826259613,0.26581716537475586
5,0.9320074915885925,0.1973670870065689,NA,0.9234693646430969,0.2227969616651535
6,0.9357936978340149,0.1840207278728485,NA,0.9343112111091614,0.19323544204235077
7,0.9409748315811157,0.1733444184064865,NA,0.9373405575752258,0.18518346548080444
8,0.9459168910980225,0.16039080917835236,NA,0.9395726919174194,0.17996208369731903
9,0.9454386234283447,0.1574147492647171,NA,0.9432398080825806,0.16736425459384918
10,0.9485473036766052,0.14812986552715302,NA,0.9430803656578064,0.17142735421657562
11,0.9524132013320923,0.142284095287323,NA,0.9368622303009033,0.18222014605998993
12,0.9557211995124817,0.1285170465707779,NA,0.9400510191917419,0.16373571753501892
13,0.9560400247573853,0.12870655953884125,NA,0.9456313848495483,0.15255412459373474
14,0.9561994075775146,0.12187260389328003,NA,0.9507334232330322,0.13883452117443085
15,0.961460292339325,0.11302625387907028,NA,0.946269154548645,0.1493522971868515
16,0.9610617160797119,0.11664947122335434,NA,0.9485012888908386,0.1440104991197586
17,0.9629349112510681,0.10496034473180771,NA,0.9505739808082581,0.1368800699710846
18,0.9613008499145508,0.1138940304517746,NA,0.9499362111091614,0.1366933137178421
19,0.9663226008415222,0.09504703432321548,NA,0.9523277878761292,0.13304638862609863
20,0.9660037755966187,0.09855517745018005,NA,0.9537627696990967,0.1302887350320816
21,0.9661232829093933,0.10092184692621231,NA,0.9545599222183228,0.12701457738876343
22,0.9657646417617798,0.0999070256948471,NA,0.9548788070678711,0.12658891081809998
23,0.966163158416748,0.09647443890571594,NA,0.9551976919174194,0.1270425021648407
24,0.9660037755966187,0.10050822049379349,NA,0.9548788070678711,0.12519052624702454
25,0.9650073647499084,0.10235210508108139,NA,0.9542410969734192,0.12679803371429443
26,0.9675182104110718,0.09665524214506149,NA,0.9545599222183228,0.1261381059885025
27,0.9656848907470703,0.09956604987382889,NA,0.9547193646430969,0.126593217253685
28,0.9655255079269409,0.09871870279312134,NA,0.9539222121238708,0.12750357389450073
29,0.9678769111633301,0.09649710357189178,NA,0.954081654548645,0.12734071910381317
